date,1. open,2. high,3. low,4. close,5. volume
2020-03-10 13:20:00,278.1635,278.29,276.92,277.245,104278.0
2020-03-10 13:21:00,277.2688,278.08,277.25,277.97,111430.0
2020-03-10 13:22:00,277.97,278.02,277.14,277.19,87656.0
2020-03-10 13:23:00,277.25,277.76,276.9,276.9,65864.0
2020-03-10 13:24:00,276.92,277.6099,276.8401,277.35,53233.0
2020-03-10 13:25:00,277.41,277.86,276.89,277.28,94019.0
2020-03-10 13:26:00,277.17,277.24,276.22,276.6,61665.0
2020-03-10 13:27:00,276.64,276.67,275.75,276.1701,82512.0
2020-03-10 13:28:00,276.2443,276.9,276.21,276.74,62094.0
2020-03-10 13:29:00,276.67,276.9,276.15,276.43,54972.0
2020-03-10 13:30:00,276.41,277.09,276.2901,276.3443,65060.0
2020-03-10 13:31:00,276.3,277.24,276.2,276.6208,76289.0
2020-03-10 13:32:00,276.7241,277.2902,276.43,276.49,60881.0
2020-03-10 13:33:00,276.51,276.62,276.08,276.27,56347.0
2020-03-10 13:34:00,276.29,276.99,275.85,276.87,69899.0
2020-03-10 13:35:00,276.9236,277.66,276.75,276.85,105609.0
2020-03-10 13:36:00,276.9,276.9,276.23,276.61,54000.0
2020-03-10 13:37:00,276.57,276.67,275.9,275.9,68452.0
2020-03-10 13:38:00,275.9,276.33,275.7672,276.12,63219.0
2020-03-10 13:39:00,276.2,276.48,275.66,275.7348,57968.0
2020-03-10 13:40:00,275.77,275.81,275.1,275.69,73999.0
2020-03-10 13:41:00,275.77,276.17,275.08,275.2002,76313.0
2020-03-10 13:42:00,275.25,275.29,274.52,274.755,181516.0
2020-03-10 13:43:00,274.7535,275.4,274.64,275.19,84697.0
2020-03-10 13:44:00,275.158,275.74,274.9301,275.07,66773.0
2020-03-10 13:45:00,275.17,275.35,274.7,275.02,83237.0
2020-03-10 13:46:00,274.99,274.99,274.4,274.5,82309.0
2020-03-10 13:47:00,274.46,274.53,273.56,273.77,121233.0
2020-03-10 13:48:00,273.73,274.25,273.41,273.45,90977.0
2020-03-10 13:49:00,273.4697,274.26,273.25,274.1992,64687.0
2020-03-10 13:50:00,274.2292,274.2292,273.78,273.78,45826.0
2020-03-10 13:51:00,273.77,274.6999,273.7,274.29,88120.0
2020-03-10 13:52:00,274.34,274.42,273.73,274.25,59692.0
2020-03-10 13:53:00,274.25,274.58,273.89,274.4156,52994.0
2020-03-10 13:54:00,274.4,274.4,273.56,273.6301,101765.0
2020-03-10 13:55:00,273.7,273.85,273.38,273.45,56332.0
2020-03-10 13:56:00,273.4666,274.07,273.37,274.05,57403.0
2020-03-10 13:57:00,274.06,274.0999,273.47,273.6188,69869.0
2020-03-10 13:58:00,273.69,274.17,273.56,273.97,66386.0
2020-03-10 13:59:00,273.9294,274.52,273.78,274.1565,79022.0
2020-03-10 14:00:00,274.26,274.47,274.02,274.13,64199.0
2020-03-10 14:01:00,274.15,274.18,273.1,273.1,106858.0
2020-03-10 14:02:00,273.06,273.1358,272.57,272.86,87535.0
2020-03-10 14:03:00,272.77,273.2,272.68,273.08,64951.0
2020-03-10 14:04:00,273.08,273.34,272.98,273.11,53602.0
